customerid,name,country,state,gender,dob,interests,pincode
0002-ORFBO,keshav,India,Maharashtra,Male,12-04-1982,travel,
0003-MKNFE,raghav,India,Karnataka,Male,23-11-1995,,
0004-TLHLJ,lalita,India,Delhi,Female,15-02-1978,movie,
0011-IGKFF,mohan,India,Nagaland,Male,30-08-2001,,
0013-EXCHZ,mira,India,Delhi,Female,05-05-1990,drama,
0013-MHZWF,durga,,Delhi,Women,10-12-1988,,
0013-SMEOE,mina,India,Meghalaya,Female,21-09-1976,,
0014-BMAQU,madan,India,Rajasthan,Male,14-03-1999,,
0015-UOCOJ,maya,,Kathmandu,Women,07-07-1985,,
0016-QLJIS,arjun,Nepal,Kathmandu,Male,29-10-1993,,
0017-DINOC,shiva,India,Maharashtra,Men,22-01-1997,,
0017-IUDMW,rangadevi,India,Karnataka,Female,18-06-1981,,
0018-NYROU,chitra,,Telangana,Female,01-12-2004,,
0019-EFAEP,raju,India,Meghalaya,Female,25-04-1992,,
0019-GFNTW,Madhav,India,Uttar Pradesh,Men,11-11-1979,,
0020-INWCK,parvati,India,Delhi,Female,28-02-1986,job,
0020-JDNXP,rikim,India,Meghalaya,Female,19-08-1994,,
0021-IKXGC,vishakha,India,Rajasthan,Female,02-09-2000,,
0022-TCJCI,raghvendra,India,Telangana,Male,30-12-1983,,
0023-HGHWL,rishabh,India,Uttar Pradesh,Men,14-05-1991,,
0023-UYUPN,sudevi,India,Maharashtra,Women,06-10-1977,,
1001-RAGFT,Harsh,India,Meghalaya,Male,07-02-1971,job,
1002-JJGBM,Omkar,India,Maharashtra,Male,20-11-1988,music,
1003-WDJSS,Pranav,India,Uttar Pradesh,Male,08-12-2004,drama,594715
1004-HRKXM,Neha,India,Karnataka,Female,24-05-2004,,559246
1005-QMGPY,Varun,India,West Bengal,Male,10-02-1991,technology,275841
1006-RQDUN,Pranav,India,Delhi,Male,12-02-1971,sports,
1007-MPGWL,Varun,India,West Bengal,Male,10-12-1982,technology,501560
1008-MNTXP,Manish,India,Tamil Nadu,Male,04-02-1982,technology,481508
1009-GFYLW,Rohan,India,Uttar Pradesh,Male,03-01-2004,job,284390
1010-GSTUR,Neha,India,Karnataka,Female,19-01-1983,,
1011-PABRP,Mira,India,Karnataka,Female,09-04-1990,technology,
1012-NDJBF,Pooja,India,Rajasthan,Female,10-12-2004,,
1013-MXWCL,Priya,India,Maharashtra,Female,09-11-1978,drama,573299
1014-DDHXV,Yash,India,Karnataka,Male,04-11-1985,music,
1015-VWVGU,Omkar,India,Kerala,Male,07-04-2000,shopping,
1016-ZNYCZ,Harsh,India,Bihar,Male,04-01-1986,,
1017-AYNTT,Yash,India,Rajasthan,Male,11-10-1991,movie,
